-- PASTED DIRECTLY FROM http://en.wikipedia.org/wiki/List_of_cities_and_towns_in_India --
Achabal 	Jammu and Kashmir 	N.A.C 	5,834 	
Vicarabad 	Andhra Pradesh 	N.P 	42,410
Vidisha 	Madhya Pradesh 	M 	125,453
Vijainagar 	Rajasthan 	M 	27,695
Vijapur 	Gujarat 	UA 	30,961
Vijaypur 	Uttarakhand 	T.M.C 	29,540
Vijayapura 	Karnataka 	T.M.C 	29,540
Vijayawada 	Andhra Pradesh 	UA 	1,039,518
Vikramasingapuram 	Tamil Nadu 	T.P 	48,309
Viluppuram 	Tamil Nadu 	M 	95,455
Vinukonda 	Andhra Pradesh 	C.T 	52,519
Viramgam 	Gujarat 	M 	53,094
Virar 	Maharashtra 	M.Cl 	118,928
Virudhachalam 	Tamil Nadu 	M 	60,164
Virudhunagar 	Tamil Nadu 	M 	72,081
Visakhapatnam 	Andhra Pradesh 	UA 	1,730,320
Visnagar 	Gujarat 	UA 	73,488
Viswanatham 	Tamil Nadu 	C.T 	22,154
Vita 	Maharashtra 	M.Cl 	41,804
Vizianagaram 	Andhra Pradesh 	UA 	195,801
Vrindavan 	Uttar Pradesh 	M.B 	56,692
Vyara 	Gujarat 	M 	36,226
W
A pillar in Warangal Fort
Name of City/Town 	Name of State 	Classification 	Population (2001)
Wadgaon Road 	Maharashtra 	C.T 	30,756
Wadhwan 	Gujarat 	UA 	219,585
Wadi 	Karnataka 	UA 	34,714
Wai 	Maharashtra 	M.Cl 	31,110
Wanaparthy 	Andhra Pradesh 	N.P 	50,114
Wani 	Maharashtra 	M.Cl 	52,834
Wankaner 	Gujarat 	M 	40,191
Wara Seoni 	Madhya Pradesh 	M 	24,757
Warangal 	Andhra Pradesh 	UA 	1,087,000
Wardha 	Maharashtra 	M.Cl 	111,118
Warhapur 	Uttar Pradesh 	N.P 	20,866
Warisaliganj 	Bihar 	N.A 	31,347
Warora 	Maharashtra 	M.Cl 	41,971
Warud 	Maharashtra 	M.Cl 	41,005
Washim 	Maharashtra 	M.Cl 	62,956
Wokha 	Nagaland 	T.C 	37,636
Y
Name of City/Town 	Name of State 	Classification 	Population (2001)
Yaadhagiri 	Karnataka 	T.M.C 	58,811
Yamunanagar 	Haryana 	UA 	306,740
Yanam 	Puducherry 	M 	31,394
Yavatmal 	Maharashtra 	UA 	139,835
Yawal 	Maharashtra 	M.Cl 	31,803
Yellandu 	Andhra Pradesh 	N.P 	42,421
Yemmiganur 	Andhra Pradesh 	M 	76,411
Yerraguntla 	Andhra Pradesh 	C.T 	26,838
Yevla 	Maharashtra 	M.Cl 	26,838
Z
Noor Muhammad Inter College in Zaidpur
Name of City/Town 	Name of State 	Classification 	Population (2001)
Zaid 	Uttar Pradesh 	N.P 	30,639
Zamania 	Uttar Pradesh 	M.B 	29,391
Zira 	Punjab 	UA 	31,783
Zirakpur 	Punjab 	N.P 	25,022
Zunheboto 	Nagaland 	T.C 	23,081
